instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right
-0.035185185,-0.390740741,1,0,0,instr_done_button,0,0,0,0,1,1,"You will be presented with words or images to classify into categories using either the 'A' or 'L' key. 
 
Try to go as fast as possible while making as few mistakes as possible. 
",Marco_Test,1,001,male,2023-03-31_18h36.17.756,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.035185185,-0.390740741,1,0,0,instr_done_button,0,1,1,1,1,2,"Keep in mind: 
 
1) Labels at the top of the screen indicate which catogory goes with which key. 
 
2) Each word or image has a correct catogory classification 
 
3) Keep your index fingers on the A and L keys to enable a rapid response. 
 
4) The test gives no results if you go slow- please try to go as fast as possible 
",Marco_Test,1,001,male,2023-03-31_18h36.17.756,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Marco_Test,1,001,male,2023-03-31_18h36.17.756,openIAT,2020.1.0rc3,Win32,60,a,0,0.8861,,,,,,,,0.8861,0,0,0,0,1,1,stimuli/blank.png,Bad,l,,,,,,,,
,,,,,,,,,,,,,Marco_Test,1,001,male,2023-03-31_18h36.17.756,openIAT,2020.1.0rc3,Win32,60,l,1,0.9407,,,,,,,,0.9407,1,0,1,1,5,1,stimuli/blank.png,Agony,l,,,,,,,,
,,,,,,,,,,,,,Marco_Test,1,001,male,2023-03-31_18h36.17.756,openIAT,2020.1.0rc3,Win32,60,a,1,0.6668,,,,,,,,0.6668,1,0,2,2,2,1,stimuli/blank.png,Happy,a,,,,,,,,
,,,,,,,,,,,,,Marco_Test,1,001,male,2023-03-31_18h36.17.756,openIAT,2020.1.0rc3,Win32,60,l,0,0.4488,,,,,,,,0.4488,0,0,3,3,4,1,stimuli/blank.png,Pleasure,a,,,,,,,,
,,,,,,,,,,,,,Marco_Test,1,001,male,2023-03-31_18h36.17.756,openIAT,2020.1.0rc3,Win32,60,a,0,0.1668,,,,,,,,0.1668,0,0,4,4,9,1,stimuli/blank.png,Nasty,l,,,,,,,,
,,,,,,,,,,,,,Marco_Test,1,001,male,2023-03-31_18h36.17.756,openIAT,2020.1.0rc3,Win32,60,l,0,0.3577,,,,,,,,0.3577,0,0,5,5,0,1,stimuli/blank.png,Good,a,,,,,,,,
,,,,,,,,,,,,,Marco_Test,1,001,male,2023-03-31_18h36.17.756,openIAT,2020.1.0rc3,Win32,60,a,1,0.1923,,,,,,,,0.1923,1,0,6,6,8,1,stimuli/blank.png,Joy,a,,,,,,,,
,,,,,,,,,,,,,Marco_Test,1,001,male,2023-03-31_18h36.17.756,openIAT,2020.1.0rc3,Win32,60,a,0,0.3262,,,,,,,,0.3262,0,0,7,7,7,1,stimuli/blank.png,Evil,l,,,,,,,,
,,,,,,,,,,,,,Marco_Test,1,001,male,2023-03-31_18h36.17.756,openIAT,2020.1.0rc3,Win32,60,l,0,0.2723,,,,,,,,0.2723,0,0,8,8,6,1,stimuli/blank.png,Love,a,,,,,,,,
,,,,,,,,,,,,,Marco_Test,1,001,male,2023-03-31_18h36.17.756,openIAT,2020.1.0rc3,Win32,60,a,0,0.4103,,,,,,,,0.4103,0,0,9,9,3,1,stimuli/blank.png,Hurt,l,,,,,,,,
,,,,,,,,,,,,,Marco_Test,1,001,male,2023-03-31_18h36.17.756,openIAT,2020.1.0rc3,Win32,60,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,pos_neg_train.xlsx,"A = 
Positive","L = 
Negative"
